2022-04-01 03:34:44 GET	/?class.module.classLoader.URLs%5B0%5D=0
2022-04-01 08:15:16	GET	/owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f
2022-04-01 11:56:54	000.000.000.000	GET	/actuator/health
2022-04-01 13:01:12	000.000.000.000	GET	/owa/auth/logon.aspx
2022-04-01 14:30:47	000.000.000.000	GET	/?class.module.classLoader.URLs%5B0%5D=0
2022-04-01 17:20:14	000.000.000.000	GET	/robots.txt
2022-04-02 19:02:54	000.000.000.000	GET	/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:02:56	000.000.000.000	GET	/dns-query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:02:56	000.000.000.000	POST	/dns-query
2022-04-02 19:02:57	000.000.000.000	POST	/dns-query
2022-04-02 19:02:59	000.000.000.000	GET	/query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:03:00	000.000.000.000	GET	/query?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:03:00	000.000.000.000	POST	/query
2022-04-02 19:03:01	000.000.000.000	POST	/query
2022-04-02 19:03:03	000.000.000.000	GET	/resolve?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:03:04	000.000.000.000	GET	/resolve?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:03:05	000.000.000.000	POST	/resolve
2022-04-02 19:03:06	000.000.000.000	POST	/resolve
2022-04-02 19:03:07	000.000.000.000	GET	/?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 19:03:08	000.000.000.000	GET	/?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB
2022-04-02 22:20:27	000.000.000.000	GET	/cgi-bin/luci
2022-04-02 22:20:46	000.000.000.000	GET	/cgi-bin/luci
2022-04-03 06:27:14	000.000.000.000	GET	/editBlackAndWhiteList
2022-04-03 08:29:11	000.000.000.000	GET	/owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f
2022-04-03 08:29:39	000.000.000.000	GET	/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application
******* From here the IP and hostname are included ************************
Date       Time     IP Address      Method  Reguest Url
